Format Version,1.23,Take Name,ar_s5_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-22 12.48.09.749 PM,Total Frames in Take,3565,Total Exported Frames,3565,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.034588,0.149411,-0.003249,0.096519,0.150291,-0.015770,-0.013591,0.150130,0.075088
1,0.010000,-0.034551,0.149474,-0.003236,0.096526,0.150280,-0.015760,-0.013593,0.150143,0.075102
2,0.020000,-0.034591,0.149415,-0.003252,0.096523,0.150281,-0.015762,-0.013593,0.150132,0.075081
3,0.030000,-0.034589,0.149428,-0.003232,0.096509,0.150272,-0.015763,-0.013611,0.150113,0.075091
4,0.040000,-0.034555,0.149451,-0.003249,0.096526,0.150280,-0.015765,-0.013593,0.150141,0.075117
5,0.050000,-0.034549,0.149480,-0.003237,0.096531,0.150292,-0.015769,-0.013591,0.150127,0.075086
6,0.060000,-0.034571,0.149448,-0.003246,0.096519,0.150281,-0.015766,-0.013609,0.150124,0.075073
7,0.070000,-0.034587,0.149431,-0.003252,0.096513,0.150277,-0.015764,-0.013612,0.150121,0.075073
8,0.080000,-0.034569,0.149432,-0.003242,0.096525,0.150285,-0.015766,-0.013593,0.150128,0.075093
9,0.090000,-0.034593,0.149429,-0.003235,0.096521,0.150267,-0.015764,-0.013602,0.150104,0.075084
10,0.100000,-0.034594,0.149410,-0.003254,0.096504,0.150266,-0.015762,-0.013606,0.150114,0.075080
11,0.110000,-0.034577,0.149431,-0.003260,0.096526,0.150287,-0.015761,-0.013605,0.150101,0.075088
12,0.120000,-0.034578,0.149425,-0.003249,0.096516,0.150272,-0.015764,-0.013595,0.150114,0.075098
13,0.130000,-0.034574,0.149431,-0.003262,0.096532,0.150285,-0.015770,-0.013582,0.150105,0.075082
14,0.140000,-0.034592,0.149429,-0.003227,0.096526,0.150306,-0.015766,-0.013598,0.150128,0.075093
15,0.150000,-0.034558,0.149459,-0.003236,0.096524,0.150315,-0.015768,-0.013601,0.150118,0.075095
16,0.160000,-0.034576,0.149434,-0.003254,0.096527,0.150276,-0.015767,-0.013603,0.150090,0.075084
17,0.170000,-0.034577,0.149437,-0.003246,0.096511,0.150261,-0.015762,-0.013619,0.150084,0.075089
18,0.180000,-0.034586,0.149445,-0.003221,0.096521,0.150270,-0.015762,-0.013596,0.150120,0.075100
19,0.190000,-0.034598,0.149430,-0.003233,0.096522,0.150288,-0.015765,-0.013605,0.150106,0.075079
20,0.200000,-0.034588,0.149431,-0.003247,0.096522,0.150269,-0.015773,-0.013614,0.150077,0.075092
21,0.210000,-0.034576,0.149423,-0.003254,0.096527,0.150266,-0.015750,-0.013626,0.150102,0.075075
22,0.220000,-0.034589,0.149414,-0.003253,0.096507,0.150260,-0.015767,-0.013598,0.150116,0.075083
23,0.230000,-0.034566,0.149427,-0.003253,0.096530,0.150276,-0.015772,-0.013596,0.150108,0.075077
24,0.240000,-0.034583,0.149420,-0.003261,0.096523,0.150283,-0.015760,-0.013605,0.150113,0.075095
25,0.250000,-0.034584,0.149408,-0.003254,0.096524,0.150273,-0.015763,-0.013598,0.150120,0.075100
26,0.260000,-0.034586,0.149401,-0.003256,0.096520,0.150271,-0.015771,-0.013594,0.150115,0.075076
27,0.270000,-0.034586,0.149412,-0.003255,0.096515,0.150273,-0.015768,-0.013593,0.150122,0.075080
28,0.280000,-0.034575,0.149458,-0.003222,0.096507,0.150309,-0.015763,-0.013609,0.150111,0.075095
29,0.290000,-0.034586,0.149409,-0.003250,0.096519,0.150307,-0.015779,-0.013615,0.150128,0.075073
30,0.300000,-0.034587,0.149406,-0.003255,0.096519,0.150301,-0.015780,-0.013600,0.150118,0.075072
31,0.310000,-0.034572,0.149428,-0.003250,0.096516,0.150281,-0.015761,-0.013613,0.150118,0.075089
32,0.320000,-0.034580,0.149430,-0.003255,0.096512,0.150281,-0.015763,-0.013610,0.150095,0.075083
33,0.330000,-0.034594,0.149402,-0.003254,0.096512,0.150275,-0.015766,-0.013610,0.150090,0.075084
34,0.340000,-0.034556,0.149463,-0.003234,0.096530,0.150312,-0.015781,-0.013593,0.150130,0.075100
35,0.350000,-0.034582,0.149423,-0.003248,0.096514,0.150293,-0.015759,-0.013594,0.150137,0.075104
