Format Version,1.23,Take Name,ar_s5_t2_lframe,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-22 03.06.48.483 PM,Total Frames in Take,179,Total Exported Frames,179,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"DB8406DB09A111ED20C8B848E857B3","DB8406DB09A111ED20C8B848E857B3","DB8406DB09A111ED20C8B848E857B3","DB8406DA09A111ED20C8B848E857B3","DB8406DA09A111ED20C8B848E857B3","DB8406DA09A111ED20C8B848E857B3","DB8406D909A111ED20C8B848E857B3","DB8406D909A111ED20C8B848E857B3","DB8406D909A111ED20C8B848E857B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009995,0.000004,0.009998,0.159977,0.000029,0.009876,0.009998,0.000011,0.210031
1,0.010000,0.009998,-0.000001,0.009995,0.159977,0.000020,0.009878,0.009998,0.000013,0.210030
2,0.020000,0.009999,-0.000003,0.009994,0.159977,0.000015,0.009879,0.009998,0.000013,0.210030
3,0.030000,0.009998,-0.000000,0.009995,0.159977,0.000017,0.009878,0.009999,0.000012,0.210031
4,0.040000,0.009997,0.000002,0.009996,0.159977,0.000018,0.009878,0.009999,0.000011,0.210031
5,0.050000,0.009997,0.000003,0.009997,0.159977,0.000020,0.009878,0.009999,0.000010,0.210031
6,0.060000,0.009997,0.000004,0.009997,0.159977,0.000020,0.009878,0.009999,0.000010,0.210031
7,0.070000,0.009996,0.000005,0.009997,0.159978,0.000021,0.009878,0.009999,0.000010,0.210031
8,0.080000,0.009996,0.000006,0.009997,0.159978,0.000022,0.009878,0.009999,0.000011,0.210031
9,0.090000,0.009996,0.000006,0.009997,0.159978,0.000023,0.009877,0.010000,0.000013,0.210031
10,0.100000,0.009996,0.000006,0.009997,0.159979,0.000023,0.009877,0.010000,0.000014,0.210031
11,0.110000,0.009996,0.000006,0.009997,0.159979,0.000023,0.009877,0.010000,0.000015,0.210032
