Format Version,1.23,Take Name,ar_s6_t0,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-26 10.27.35.849 AM,Total Frames in Take,3309,Total Exported Frames,3309,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.011143,0.149485,-0.024517,0.143142,0.149919,-0.035744,0.033077,0.150649,0.054005
1,0.010000,0.011144,0.149493,-0.024511,0.143157,0.149925,-0.035728,0.033075,0.150652,0.054001
2,0.020000,0.011150,0.149491,-0.024513,0.143153,0.149866,-0.035750,0.033079,0.150656,0.054007
3,0.030000,0.011144,0.149497,-0.024518,0.143150,0.149924,-0.035729,0.033093,0.150635,0.053989
4,0.040000,0.011151,0.149489,-0.024520,0.143177,0.149888,-0.035746,0.033082,0.150630,0.053976
5,0.050000,0.011149,0.149495,-0.024511,0.143178,0.149898,-0.035749,0.033081,0.150658,0.054013
6,0.060000,0.011145,0.149492,-0.024522,0.143139,0.149887,-0.035740,0.033071,0.150636,0.053991
7,0.070000,0.011147,0.149493,-0.024516,0.143170,0.149881,-0.035739,0.033070,0.150646,0.054000
8,0.080000,0.011145,0.149508,-0.024516,0.143149,0.149870,-0.035743,0.033083,0.150641,0.053996
9,0.090000,0.011148,0.149493,-0.024515,0.143177,0.149875,-0.035752,0.033057,0.150689,0.053992
10,0.100000,0.011149,0.149488,-0.024517,0.143155,0.149914,-0.035725,0.033095,0.150638,0.053989
11,0.110000,0.011149,0.149509,-0.024515,0.143154,0.149874,-0.035747,0.033079,0.150649,0.053998
12,0.120000,0.011149,0.149501,-0.024514,0.143149,0.149877,-0.035737,0.033080,0.150669,0.054015
13,0.130000,0.011147,0.149495,-0.024515,0.143160,0.149914,-0.035736,0.033094,0.150650,0.053989
14,0.140000,0.011143,0.149490,-0.024517,0.143174,0.149891,-0.035751,0.033100,0.150637,0.053976
15,0.150000,0.011153,0.149505,-0.024516,0.143177,0.149911,-0.035733,0.033078,0.150655,0.054003
16,0.160000,0.011146,0.149493,-0.024523,0.143144,0.149861,-0.035756,0.033079,0.150627,0.053970
17,0.170000,0.011148,0.149507,-0.024516,0.143161,0.149898,-0.035734,0.033076,0.150654,0.053989
18,0.180000,0.011151,0.149502,-0.024506,0.143178,0.149894,-0.035743,0.033081,0.150671,0.054006
19,0.190000,0.011149,0.149490,-0.024520,0.143152,0.149914,-0.035729,0.033075,0.150652,0.054002
20,0.200000,0.011148,0.149494,-0.024517,0.143147,0.149936,-0.035742,0.033081,0.150655,0.054001
21,0.210000,0.011149,0.149503,-0.024515,0.143177,0.149906,-0.035744,0.033078,0.150649,0.053996
22,0.220000,0.011153,0.149487,-0.024515,0.143175,0.149886,-0.035751,0.033099,0.150629,0.053998
23,0.230000,0.011155,0.149475,-0.024511,0.143137,0.149868,-0.035745,0.033070,0.150636,0.053991
24,0.240000,0.011143,0.149486,-0.024519,0.143143,0.149857,-0.035748,0.033074,0.150635,0.053995
25,0.250000,0.011151,0.149488,-0.024522,0.143172,0.149921,-0.035736,0.033101,0.150637,0.053982
26,0.260000,0.011152,0.149489,-0.024513,0.143150,0.149861,-0.035753,0.033081,0.150644,0.054001
27,0.270000,0.011147,0.149491,-0.024519,0.143162,0.149898,-0.035742,0.033094,0.150618,0.053975
28,0.280000,0.011155,0.149504,-0.024522,0.143162,0.149928,-0.035728,0.033069,0.150662,0.054011
29,0.290000,0.011151,0.149487,-0.024520,0.143142,0.149873,-0.035743,0.033074,0.150660,0.053998
30,0.300000,0.011153,0.149482,-0.024518,0.143152,0.149919,-0.035749,0.033095,0.150628,0.053973
31,0.310000,0.011152,0.149491,-0.024506,0.143128,0.149918,-0.035738,0.033078,0.150655,0.054010
32,0.320000,0.011153,0.149495,-0.024516,0.143173,0.149908,-0.035743,0.033085,0.150652,0.053996
33,0.330000,0.011145,0.149493,-0.024516,0.143144,0.149879,-0.035738,0.033097,0.150620,0.053971
34,0.340000,0.011147,0.149487,-0.024521,0.143136,0.149943,-0.035731,0.033100,0.150625,0.053990
35,0.350000,0.011155,0.149493,-0.024518,0.143160,0.149844,-0.035763,0.033086,0.150687,0.054019
36,0.360000,0.011153,0.149466,-0.024521,0.143172,0.149880,-0.035752,0.033076,0.150646,0.054000
37,0.370000,0.011154,0.149481,-0.024522,0.143150,0.149831,-0.035759,0.033071,0.150668,0.053983
38,0.380000,0.011149,0.149487,-0.024515,0.143176,0.149893,-0.035751,0.033080,0.150631,0.053992
39,0.390000,0.011152,0.149496,-0.024517,0.143168,0.149898,-0.035734,0.033098,0.150631,0.053991
40,0.400000,0.011155,0.149478,-0.024524,0.143169,0.149882,-0.035751,0.033094,0.150609,0.053971
41,0.410000,0.011148,0.149493,-0.024511,0.143167,0.149897,-0.035740,0.033099,0.150631,0.054001
42,0.420000,0.011156,0.149478,-0.024517,0.143136,0.149891,-0.035761,0.033082,0.150643,0.053994
43,0.430000,0.011152,0.149489,-0.024516,0.143142,0.149869,-0.035745,0.033092,0.150626,0.053996
44,0.440000,0.011151,0.149494,-0.024516,0.143154,0.149855,-0.035759,0.033073,0.150656,0.054002
45,0.450000,0.011145,0.149479,-0.024513,0.143170,0.149913,-0.035735,0.033079,0.150649,0.054011
46,0.460000,0.011158,0.149483,-0.024519,0.143152,0.149909,-0.035729,0.033095,0.150631,0.053990
47,0.470000,0.011147,0.149488,-0.024518,0.143176,0.149887,-0.035749,0.033078,0.150648,0.053988
48,0.480000,0.011150,0.149503,-0.024509,0.143173,0.149906,-0.035738,0.033089,0.150689,0.054022
49,0.490000,0.011155,0.149474,-0.024522,0.143138,0.149896,-0.035742,0.033095,0.150632,0.053986
50,0.500000,0.011152,0.149479,-0.024513,0.143168,0.149899,-0.035744,0.033073,0.150645,0.053999
51,0.510000,0.011153,0.149502,-0.024511,0.143150,0.149874,-0.035745,0.033075,0.150654,0.054011
52,0.520000,0.011148,0.149497,-0.024508,0.143152,0.149858,-0.035752,0.033074,0.150649,0.054011
53,0.530000,0.011147,0.149477,-0.024522,0.143146,0.149853,-0.035751,0.033071,0.150643,0.054001
54,0.540000,0.011144,0.149485,-0.024520,0.143170,0.149879,-0.035747,0.033080,0.150626,0.053982
55,0.550000,0.011147,0.149488,-0.024513,0.143175,0.149891,-0.035741,0.033078,0.150656,0.054010
56,0.560000,0.011132,0.149511,-0.024518,0.143169,0.149883,-0.035741,0.033076,0.150636,0.054002
57,0.570000,0.011148,0.149489,-0.024517,0.143164,0.149894,-0.035744,0.033099,0.150627,0.053994
58,0.580000,0.011151,0.149496,-0.024507,0.143161,0.149854,-0.035757,0.033082,0.150652,0.054007
59,0.590000,0.011153,0.149484,-0.024516,0.143150,0.149843,-0.035761,0.033101,0.150611,0.053978
60,0.600000,0.011152,0.149485,-0.024523,0.143171,0.149875,-0.035747,0.033075,0.150639,0.053989
61,0.610000,0.011151,0.149494,-0.024513,0.143166,0.149918,-0.035726,0.033058,0.150701,0.054011
62,0.620000,0.011155,0.149484,-0.024512,0.143174,0.149902,-0.035742,0.033100,0.150643,0.053998
63,0.630000,0.011148,0.149486,-0.024516,0.143165,0.149902,-0.035741,0.033071,0.150650,0.053988
64,0.640000,0.011150,0.149488,-0.024515,0.143165,0.149897,-0.035744,0.033078,0.150660,0.054002
65,0.650000,0.011144,0.149496,-0.024509,0.143171,0.149915,-0.035731,0.033100,0.150644,0.053997
66,0.660000,0.011146,0.149482,-0.024524,0.143171,0.149897,-0.035750,0.033079,0.150653,0.053999
67,0.670000,0.011146,0.149493,-0.024520,0.143154,0.149928,-0.035724,0.033094,0.150640,0.053988
68,0.680000,0.011155,0.149488,-0.024516,0.143170,0.149920,-0.035731,0.033079,0.150652,0.054011
69,0.690000,0.011151,0.149487,-0.024519,0.143171,0.149886,-0.035746,0.033095,0.150626,0.053990
70,0.700000,0.011148,0.149480,-0.024521,0.143163,0.149906,-0.035736,0.033071,0.150645,0.053999
71,0.710000,0.011149,0.149485,-0.024515,0.143173,0.149884,-0.035749,0.033076,0.150648,0.054009
72,0.720000,0.011148,0.149487,-0.024513,0.143146,0.149878,-0.035739,0.033076,0.150652,0.054009
73,0.730000,0.011143,0.149474,-0.024525,0.143160,0.149891,-0.035740,0.033075,0.150645,0.054001
74,0.740000,0.011151,0.149480,-0.024519,0.143175,0.149888,-0.035749,0.033093,0.150627,0.053980
75,0.750000,0.011153,0.149507,-0.024514,0.143174,0.149899,-0.035744,0.033080,0.150645,0.053994
76,0.760000,0.011146,0.149493,-0.024517,0.143161,0.149907,-0.035738,0.033075,0.150634,0.053991
77,0.770000,0.011148,0.149497,-0.024522,0.143164,0.149900,-0.035740,0.033078,0.150653,0.053999
78,0.780000,0.011136,0.149514,-0.024509,0.143177,0.149897,-0.035742,0.033082,0.150654,0.054009
79,0.790000,0.011147,0.149482,-0.024514,0.143152,0.149859,-0.035759,0.033081,0.150666,0.053976
80,0.800000,0.011147,0.149487,-0.024515,0.143121,0.149907,-0.035738,0.033073,0.150654,0.054002
81,0.810000,0.011146,0.149507,-0.024513,0.143162,0.149915,-0.035731,0.033086,0.150684,0.054026
82,0.820000,0.011151,0.149490,-0.024514,0.143141,0.149881,-0.035743,0.033074,0.150652,0.054008
