Format Version,1.23,Take Name,ar_s9_t4,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 11.23.37.854 AM,Total Frames in Take,4429,Total Exported Frames,4429,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"C5F47F80F0311ED20C8B848E859B3","C5F47F80F0311ED20C8B848E859B3","C5F47F80F0311ED20C8B848E859B3","C5F47F70F0311ED20C8B848E859B3","C5F47F70F0311ED20C8B848E859B3","C5F47F70F0311ED20C8B848E859B3","61634410F0311ED20C8B848E859B3","61634410F0311ED20C8B848E859B3","61634410F0311ED20C8B848E859B3","61634400F0311ED20C8B848E859B3","61634400F0311ED20C8B848E859B3","61634400F0311ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.062520,0.171837,0.050482,0.137365,0.170059,0.050890,0.065953,0.251223,0.051510,0.140775,0.247067,0.053847
1,0.010000,0.062526,0.171846,0.050469,0.137328,0.170064,0.050858,0.065950,0.251235,0.051515,0.140774,0.247067,0.053848
2,0.020000,0.062530,0.171874,0.050492,0.137327,0.170029,0.050856,0.065953,0.251233,0.051519,0.140796,0.246816,0.053909
3,0.030000,0.062517,0.171840,0.050486,0.137316,0.170022,0.050893,0.065952,0.251228,0.051520,0.140800,0.246801,0.053915
4,0.040000,0.062526,0.171861,0.050497,0.137341,0.170039,0.050877,0.065962,0.251242,0.051515,0.140767,0.247062,0.053848
5,0.050000,0.062513,0.171875,0.050493,0.137313,0.169981,0.050849,0.065946,0.251237,0.051527,0.140804,0.246793,0.053905
6,0.060000,0.062514,0.171888,0.050501,0.137327,0.170024,0.050872,0.065954,0.251224,0.051520,0.140769,0.247069,0.053855
7,0.070000,0.062520,0.171847,0.050481,0.137316,0.170016,0.050855,0.065941,0.251256,0.051533,0.140776,0.247069,0.053842
8,0.080000,0.062511,0.171842,0.050486,0.137316,0.170013,0.050848,0.065948,0.251237,0.051525,0.140785,0.246815,0.053907
9,0.090000,0.062517,0.171836,0.050486,0.137312,0.170022,0.050863,0.065953,0.251236,0.051517,0.140802,0.246808,0.053911
10,0.100000,0.062521,0.171832,0.050487,0.137322,0.170028,0.050861,0.065948,0.251238,0.051525,0.140805,0.246804,0.053905
11,0.110000,0.062504,0.171845,0.050490,0.137326,0.170009,0.050846,0.065950,0.251232,0.051513,0.140799,0.246795,0.053892
12,0.120000,0.062499,0.171860,0.050506,0.137316,0.170021,0.050858,0.065953,0.251250,0.051525,0.140803,0.246812,0.053911
13,0.130000,0.062513,0.171851,0.050480,0.137319,0.170011,0.050853,0.065950,0.251226,0.051520,0.140802,0.246825,0.053917
14,0.140000,0.062493,0.171862,0.050488,0.137332,0.170014,0.050862,0.065952,0.251214,0.051516,0.140776,0.247071,0.053847
15,0.150000,0.062514,0.171839,0.050502,0.137317,0.169987,0.050858,0.065951,0.251217,0.051519,0.140795,0.246813,0.053915
16,0.160000,0.062514,0.171823,0.050491,0.137317,0.169972,0.050856,0.065946,0.251219,0.051521,0.140800,0.246809,0.053912
17,0.170000,0.062509,0.171836,0.050469,0.137316,0.170020,0.050856,0.065943,0.251215,0.051522,0.140777,0.247057,0.053840
18,0.180000,0.062519,0.171853,0.050472,0.137327,0.170032,0.050864,0.065947,0.251204,0.051516,0.140785,0.246806,0.053917
19,0.190000,0.062512,0.171852,0.050477,0.137304,0.169979,0.050852,0.065951,0.251220,0.051530,0.140775,0.247066,0.053846
20,0.200000,0.062517,0.171841,0.050483,0.137317,0.170005,0.050874,0.065942,0.251226,0.051525,0.140779,0.247053,0.053846
21,0.210000,0.062510,0.171854,0.050488,0.137324,0.170033,0.050874,0.065938,0.251227,0.051522,0.140799,0.246786,0.053895
22,0.220000,0.062525,0.171866,0.050489,0.137316,0.169999,0.050858,0.065941,0.251235,0.051528,0.140798,0.246808,0.053909
23,0.230000,0.062512,0.171885,0.050491,0.137310,0.170020,0.050863,0.065952,0.251229,0.051518,0.140791,0.246807,0.053915
24,0.240000,0.062523,0.171842,0.050478,0.137331,0.170027,0.050873,0.065940,0.251229,0.051533,0.140747,0.247048,0.053850
25,0.250000,0.062525,0.171840,0.050479,0.137308,0.170025,0.050862,0.065943,0.251227,0.051521,0.140796,0.246805,0.053919
26,0.260000,0.062512,0.171861,0.050476,0.137315,0.170030,0.050879,0.065952,0.251230,0.051510,0.140764,0.247044,0.053853
27,0.270000,0.062512,0.171859,0.050482,0.137326,0.170013,0.050875,0.065949,0.251231,0.051525,0.140771,0.247056,0.053849
28,0.280000,0.062519,0.171867,0.050480,0.137324,0.170030,0.050871,0.065935,0.251256,0.051533,0.140775,0.247047,0.053839
29,0.290000,0.062516,0.171869,0.050487,0.137315,0.170005,0.050859,0.065955,0.251224,0.051521,0.140781,0.247047,0.053847
30,0.300000,0.062501,0.171871,0.050487,0.137319,0.170034,0.050856,0.065957,0.251233,0.051517,0.140780,0.247065,0.053848
31,0.310000,0.062504,0.171869,0.050475,0.137312,0.170015,0.050841,0.065946,0.251244,0.051524,0.140767,0.247071,0.053846
32,0.320000,0.062517,0.171848,0.050483,0.137323,0.170041,0.050875,0.065955,0.251228,0.051521,0.140802,0.246822,0.053906
33,0.330000,0.062510,0.171868,0.050480,0.137312,0.170012,0.050832,0.065946,0.251234,0.051531,0.140806,0.246809,0.053909
34,0.340000,0.062506,0.171850,0.050465,0.137312,0.170021,0.050846,0.065946,0.251246,0.051523,0.140772,0.247050,0.053828
35,0.350000,0.062507,0.171856,0.050489,0.137312,0.170026,0.050848,0.065940,0.251224,0.051509,0.140801,0.246800,0.053912
36,0.360000,0.062514,0.171890,0.050496,0.137305,0.170035,0.050852,0.065957,0.251235,0.051513,0.140794,0.246806,0.053910
37,0.370000,0.062534,0.171863,0.050473,0.137339,0.170036,0.050871,0.065957,0.251224,0.051514,0.140775,0.246804,0.053903
38,0.380000,0.062512,0.171847,0.050465,0.137323,0.170018,0.050865,0.065945,0.251261,0.051537,0.140771,0.247045,0.053832
39,0.390000,0.062521,0.171871,0.050478,0.137324,0.170032,0.050864,0.065956,0.251237,0.051519,0.140807,0.246791,0.053897
40,0.400000,0.062520,0.171853,0.050471,0.137331,0.170058,0.050875,0.065948,0.251259,0.051538,0.140757,0.247055,0.053852
41,0.410000,0.062513,0.171868,0.050478,0.137344,0.170062,0.050864,0.065947,0.251242,0.051524,0.140776,0.247057,0.053832
42,0.420000,0.062512,0.171852,0.050477,0.137331,0.170041,0.050879,0.065955,0.251225,0.051516,0.140790,0.246810,0.053905
43,0.430000,0.062518,0.171838,0.050480,0.137319,0.170039,0.050860,0.065959,0.251236,0.051518,0.140811,0.246823,0.053910
44,0.440000,0.062526,0.171847,0.050466,0.137333,0.170052,0.050864,0.065948,0.251237,0.051522,0.140775,0.247083,0.053838
45,0.450000,0.062513,0.171876,0.050490,0.137336,0.170023,0.050876,0.065952,0.251248,0.051528,0.140806,0.246800,0.053901
46,0.460000,0.062528,0.171858,0.050483,0.137338,0.170015,0.050868,0.065959,0.251233,0.051512,0.140804,0.246823,0.053912
47,0.470000,0.062517,0.171876,0.050483,0.137337,0.170041,0.050869,0.065960,0.251226,0.051511,0.140792,0.246796,0.053908
48,0.480000,0.062518,0.171840,0.050473,0.137331,0.170024,0.050873,0.065963,0.251243,0.051512,0.140797,0.246810,0.053891
49,0.490000,0.062523,0.171850,0.050487,0.137329,0.170016,0.050866,0.065952,0.251236,0.051519,0.140803,0.246827,0.053914
50,0.500000,0.062528,0.171857,0.050472,0.137348,0.170048,0.050860,0.065947,0.251260,0.051533,0.140792,0.246814,0.053908
51,0.510000,0.062505,0.171876,0.050485,0.137331,0.170044,0.050855,0.065952,0.251251,0.051520,0.140800,0.246812,0.053887
52,0.520000,0.062522,0.171866,0.050486,0.137355,0.170027,0.050881,0.065950,0.251232,0.051516,0.140795,0.246825,0.053907
53,0.530000,0.062521,0.171857,0.050481,0.137323,0.170034,0.050856,0.065957,0.251228,0.051517,0.140799,0.246821,0.053910
54,0.540000,0.062513,0.171891,0.050487,0.137340,0.170049,0.050883,0.065959,0.251237,0.051510,0.140761,0.247065,0.053851
55,0.550000,0.062519,0.171874,0.050487,0.137366,0.170068,0.050889,0.065961,0.251236,0.051525,0.140803,0.246817,0.053912
56,0.560000,0.062523,0.171868,0.050487,0.137345,0.170060,0.050885,0.065951,0.251239,0.051529,0.140784,0.247063,0.053854
57,0.570000,0.062510,0.171875,0.050470,0.137331,0.170033,0.050883,0.065946,0.251242,0.051530,0.140790,0.246802,0.053904
58,0.580000,0.062521,0.171898,0.050489,0.137334,0.170025,0.050873,0.065957,0.251221,0.051521,0.140770,0.247059,0.053843
59,0.590000,0.062515,0.171854,0.050478,0.137314,0.170023,0.050856,0.065957,0.251245,0.051534,0.140804,0.246824,0.053914
60,0.600000,0.062511,0.171889,0.050486,0.137344,0.170046,0.050876,0.065964,0.251235,0.051520,0.140808,0.246818,0.053913
61,0.610000,0.062507,0.171873,0.050484,0.137332,0.170023,0.050869,0.065949,0.251244,0.051522,0.140782,0.247050,0.053829
62,0.620000,0.062518,0.171883,0.050495,0.137330,0.170060,0.050880,0.065955,0.251246,0.051528,0.140811,0.246783,0.053899
63,0.630000,0.062525,0.171855,0.050485,0.137319,0.170023,0.050853,0.065954,0.251245,0.051527,0.140810,0.246810,0.053915
64,0.640000,0.062515,0.171842,0.050472,0.137336,0.170035,0.050878,0.065962,0.251226,0.051517,0.140763,0.247058,0.053844
65,0.650000,0.062525,0.171833,0.050476,0.137325,0.170007,0.050888,0.065957,0.251233,0.051525,0.140773,0.247060,0.053852
66,0.660000,0.062514,0.171879,0.050494,0.137320,0.170028,0.050861,0.065944,0.251241,0.051526,0.140782,0.247055,0.053841
67,0.670000,0.062520,0.171843,0.050480,0.137333,0.170037,0.050883,0.065949,0.251244,0.051532,0.140779,0.247059,0.053844
68,0.680000,0.062503,0.171885,0.050486,0.137313,0.170037,0.050853,0.065963,0.251234,0.051515,0.140785,0.246806,0.053911
69,0.690000,0.062528,0.171839,0.050487,0.137324,0.170028,0.050878,0.065960,0.251231,0.051518,0.140812,0.246801,0.053904
70,0.700000,0.062501,0.171860,0.050488,0.137323,0.170044,0.050869,0.065958,0.251241,0.051528,0.140775,0.247065,0.053852
71,0.710000,0.062521,0.171829,0.050461,0.137336,0.170052,0.050877,0.065949,0.251250,0.051522,0.140762,0.247051,0.053848
72,0.720000,0.062512,0.171860,0.050477,0.137323,0.170028,0.050863,0.065957,0.251241,0.051522,0.140801,0.246815,0.053913
73,0.730000,0.062513,0.171861,0.050493,0.137321,0.170018,0.050862,0.065950,0.251230,0.051517,0.140809,0.246829,0.053916
74,0.740000,0.062492,0.171878,0.050481,0.137330,0.170048,0.050870,0.065948,0.251242,0.051523,0.140773,0.247087,0.053845
75,0.750000,0.062514,0.171875,0.050489,0.137336,0.170036,0.050882,0.065959,0.251220,0.051516,0.140797,0.246824,0.053915
76,0.760000,0.062506,0.171870,0.050496,0.137321,0.170033,0.050853,0.065958,0.251227,0.051519,0.140797,0.246812,0.053909
77,0.770000,0.062508,0.171858,0.050485,0.137309,0.170014,0.050853,0.065951,0.251227,0.051510,0.140767,0.247068,0.053843
78,0.780000,0.062506,0.171868,0.050482,0.137321,0.170037,0.050870,0.065952,0.251227,0.051516,0.140776,0.247062,0.053842
79,0.790000,0.062532,0.171848,0.050490,0.137308,0.170024,0.050849,0.065946,0.251235,0.051532,0.140799,0.246814,0.053912
80,0.800000,0.062523,0.171881,0.050484,0.137317,0.170029,0.050854,0.065957,0.251233,0.051514,0.140804,0.246830,0.053906
81,0.810000,0.062523,0.171859,0.050477,0.137322,0.170032,0.050870,0.065954,0.251238,0.051527,0.140781,0.246802,0.053908
82,0.820000,0.062512,0.171888,0.050502,0.137310,0.169990,0.050841,0.065955,0.251236,0.051519,0.140800,0.246816,0.053914
83,0.830000,0.062520,0.171860,0.050481,0.137308,0.170028,0.050850,0.065954,0.251224,0.051515,0.140797,0.246805,0.053903
84,0.840000,0.062510,0.171878,0.050491,0.137318,0.170025,0.050838,0.065947,0.251239,0.051532,0.140763,0.247049,0.053836
85,0.850000,0.062517,0.171849,0.050488,0.137314,0.170025,0.050871,0.065957,0.251243,0.051532,0.140805,0.246801,0.053898
86,0.860000,0.062512,0.171871,0.050497,0.137306,0.170013,0.050852,0.065956,0.251240,0.051529,0.140799,0.246803,0.053909
87,0.870000,0.062526,0.171858,0.050472,0.137327,0.170025,0.050851,0.065952,0.251259,0.051529,0.140803,0.246803,0.053889
88,0.880000,0.062519,0.171857,0.050484,0.137323,0.170036,0.050848,0.065953,0.251242,0.051531,0.140773,0.247066,0.053845
89,0.890000,0.062514,0.171887,0.050513,0.137309,0.170017,0.050852,0.065958,0.251242,0.051522,0.140807,0.246818,0.053908
90,0.900000,0.062496,0.171883,0.050502,0.137319,0.170007,0.050852,0.065949,0.251233,0.051512,0.140778,0.247072,0.053846
91,0.910000,0.062529,0.171850,0.050492,0.137309,0.170030,0.050851,0.065943,0.251236,0.051522,0.140785,0.247065,0.053832
92,0.920000,0.062521,0.171839,0.050480,0.137355,0.170054,0.050893,0.065949,0.251227,0.051519,0.140809,0.246802,0.053906
93,0.930000,0.062501,0.171882,0.050491,0.137318,0.170027,0.050856,0.065946,0.251236,0.051529,0.140802,0.246811,0.053907
94,0.940000,0.062509,0.171880,0.050473,0.137330,0.170023,0.050846,0.065952,0.251224,0.051511,0.140772,0.247061,0.053835
95,0.950000,0.062521,0.171870,0.050497,0.137310,0.170024,0.050855,0.065955,0.251235,0.051517,0.140803,0.246815,0.053913
96,0.960000,0.062529,0.171869,0.050485,0.137323,0.170035,0.050855,0.065956,0.251223,0.051516,0.140798,0.246795,0.053905
97,0.970000,0.062522,0.171851,0.050481,0.137344,0.170041,0.050884,0.065960,0.251224,0.051512,0.140801,0.246807,0.053891
98,0.980000,0.062506,0.171868,0.050474,0.137334,0.170054,0.050878,0.065945,0.251234,0.051523,0.140785,0.246801,0.053913
99,0.990000,0.062520,0.171849,0.050493,0.137317,0.170043,0.050860,0.065953,0.251227,0.051519,0.140802,0.246802,0.053908
100,1.000000,0.062500,0.171863,0.050483,0.137339,0.170035,0.050868,0.065940,0.251257,0.051534,0.140802,0.246811,0.053910
101,1.010000,0.062505,0.171880,0.050487,0.137317,0.170048,0.050851,0.065942,0.251237,0.051518,0.140776,0.247075,0.053850
102,1.020000,0.062519,0.171854,0.050488,0.137322,0.170011,0.050856,0.065948,0.251235,0.051515,0.140793,0.246810,0.053905
103,1.030000,0.062508,0.171866,0.050493,0.137318,0.170028,0.050856,0.065954,0.251229,0.051524,0.140801,0.246814,0.053908
104,1.040000,0.062504,0.171867,0.050482,0.137326,0.170025,0.050872,0.065944,0.251249,0.051523,0.140765,0.247052,0.053837
105,1.050000,0.062513,0.171843,0.050480,0.137334,0.170057,0.050876,0.065958,0.251235,0.051518,0.140776,0.247048,0.053833
106,1.060000,0.062503,0.171882,0.050499,0.137328,0.170023,0.050858,0.065939,0.251242,0.051521,0.140799,0.246803,0.053898
107,1.070000,0.062504,0.171877,0.050489,0.137331,0.170029,0.050872,0.065951,0.251240,0.051508,0.140777,0.247053,0.053825
108,1.080000,0.062498,0.171864,0.050485,0.137325,0.170050,0.050870,0.065946,0.251253,0.051531,0.140762,0.247063,0.053846
109,1.090000,0.062502,0.171873,0.050492,0.137311,0.169997,0.050861,0.065953,0.251237,0.051521,0.140800,0.246811,0.053906
110,1.100000,0.062506,0.171870,0.050494,0.137325,0.170024,0.050884,0.065948,0.251237,0.051527,0.140776,0.247061,0.053833
111,1.110000,0.062503,0.171867,0.050484,0.137329,0.170054,0.050870,0.065949,0.251229,0.051517,0.140790,0.246790,0.053896
112,1.120000,0.062507,0.171861,0.050492,0.137314,0.170023,0.050863,0.065947,0.251226,0.051516,0.140778,0.247045,0.053839
113,1.130000,0.062523,0.171839,0.050482,0.137319,0.169993,0.050849,0.065947,0.251246,0.051535,0.140795,0.246803,0.053903
114,1.140000,0.062503,0.171878,0.050488,0.137313,0.170010,0.050861,0.065944,0.251243,0.051525,0.140788,0.246796,0.053901
115,1.150000,0.062511,0.171893,0.050508,0.137330,0.170022,0.050871,0.065951,0.251230,0.051519,0.140801,0.246812,0.053902
116,1.160000,0.062520,0.171858,0.050490,0.137313,0.170006,0.050853,0.065959,0.251222,0.051525,0.140799,0.246802,0.053913
117,1.170000,0.062514,0.171847,0.050480,0.137314,0.170034,0.050842,0.065944,0.251230,0.051524,0.140778,0.247050,0.053834
118,1.180000,0.062511,0.171862,0.050496,0.137351,0.170048,0.050882,0.065949,0.251233,0.051526,0.140773,0.247064,0.053853
119,1.190000,0.062528,0.171858,0.050487,0.137316,0.169993,0.050855,0.065951,0.251228,0.051522,0.140790,0.246808,0.053912
120,1.200000,0.062507,0.171870,0.050498,0.137315,0.170021,0.050856,0.065956,0.251217,0.051515,0.140793,0.246817,0.053922
121,1.210000,0.062492,0.171877,0.050483,0.137326,0.170024,0.050873,0.065955,0.251241,0.051520,0.140779,0.247045,0.053841
122,1.220000,0.062527,0.171837,0.050480,0.137320,0.170027,0.050860,0.065946,0.251229,0.051528,0.140798,0.246807,0.053913
123,1.230000,0.062520,0.171879,0.050491,0.137305,0.169996,0.050858,0.065959,0.251225,0.051520,0.140800,0.246802,0.053909
124,1.240000,0.062519,0.171858,0.050472,0.137309,0.170013,0.050850,0.065947,0.251242,0.051519,0.140767,0.247036,0.053848
125,1.250000,0.062515,0.171876,0.050488,0.137310,0.170021,0.050855,0.065953,0.251225,0.051518,0.140797,0.246807,0.053901
126,1.260000,0.062532,0.171863,0.050484,0.137321,0.170004,0.050860,0.065955,0.251214,0.051519,0.140801,0.246802,0.053912
127,1.270000,0.062515,0.171884,0.050481,0.137321,0.170017,0.050866,0.065950,0.251241,0.051521,0.140785,0.246798,0.053896
128,1.280000,0.062503,0.171869,0.050487,0.137316,0.170035,0.050869,0.065960,0.251221,0.051516,0.140788,0.246800,0.053903
129,1.290000,0.062506,0.171878,0.050493,0.137312,0.170026,0.050855,0.065948,0.251221,0.051519,0.140798,0.246808,0.053905
