Format Version,1.23,Take Name,ar_s9_t6,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 12.21.40.566 PM,Total Frames in Take,4212,Total Exported Frames,4212,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"33A3CEE60F0B11ED20C8B848E859B3","33A3CEE60F0B11ED20C8B848E859B3","33A3CEE60F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE50F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE40F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3","33A3CEE30F0B11ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.372785,0.172342,0.040554,0.299014,0.173794,0.029430,0.375904,0.248890,0.043973,0.302078,0.253328,0.031100
1,0.010000,0.372794,0.172345,0.040543,0.299014,0.173796,0.029436,0.375906,0.248897,0.043971,0.302084,0.253333,0.031094
2,0.020000,0.372793,0.172365,0.040536,0.299012,0.173788,0.029438,0.375907,0.248892,0.043965,0.302084,0.253316,0.031102
3,0.030000,0.372779,0.172365,0.040554,0.299016,0.173775,0.029437,0.375916,0.248916,0.043985,0.302081,0.253335,0.031105
4,0.040000,0.372788,0.172338,0.040548,0.299021,0.173786,0.029432,0.375905,0.248874,0.043981,0.302081,0.253332,0.031107
5,0.050000,0.372774,0.172367,0.040525,0.299009,0.173790,0.029441,0.375912,0.248877,0.043972,0.302077,0.253328,0.031085
6,0.060000,0.372779,0.172356,0.040534,0.299023,0.173781,0.029434,0.375910,0.248907,0.043975,0.302079,0.253354,0.031095
7,0.070000,0.372777,0.172334,0.040540,0.299014,0.173770,0.029437,0.375912,0.248896,0.043976,0.302071,0.253323,0.031089
8,0.080000,0.372771,0.172352,0.040525,0.299033,0.173787,0.029429,0.375905,0.248876,0.043972,0.302087,0.253351,0.031107
9,0.090000,0.372797,0.172332,0.040565,0.299026,0.173782,0.029445,0.375921,0.248908,0.043986,0.302070,0.253358,0.031100
10,0.100000,0.372785,0.172327,0.040544,0.299034,0.173767,0.029447,0.375915,0.248908,0.043979,0.302094,0.253389,0.031122
11,0.110000,0.372798,0.172359,0.040550,0.299031,0.173789,0.029441,0.375906,0.248907,0.043969,0.302085,0.253373,0.031113
12,0.120000,0.372803,0.172344,0.040538,0.299023,0.173802,0.029441,0.375905,0.248884,0.043969,0.302087,0.253366,0.031104
13,0.130000,0.372789,0.172376,0.040570,0.299031,0.173774,0.029449,0.375916,0.248901,0.043992,0.302084,0.253379,0.031111
14,0.140000,0.372800,0.172348,0.040556,0.299027,0.173774,0.029441,0.375908,0.248903,0.043977,0.302090,0.253374,0.031101
15,0.150000,0.372799,0.172371,0.040542,0.299032,0.173792,0.029439,0.375913,0.248914,0.043967,0.302090,0.253385,0.031102
16,0.160000,0.372798,0.172355,0.040567,0.299036,0.173794,0.029454,0.375918,0.248904,0.043989,0.302082,0.253378,0.031112
17,0.170000,0.372793,0.172313,0.040562,0.299029,0.173790,0.029441,0.375918,0.248896,0.043990,0.302093,0.253379,0.031123
18,0.180000,0.372799,0.172365,0.040563,0.299015,0.173794,0.029439,0.375917,0.248875,0.043976,0.302087,0.253349,0.031105
19,0.190000,0.372796,0.172336,0.040560,0.299029,0.173791,0.029437,0.375905,0.248896,0.043984,0.302077,0.253353,0.031105
20,0.200000,0.372794,0.172358,0.040565,0.299030,0.173761,0.029441,0.375914,0.248899,0.043990,0.302074,0.253359,0.031108
21,0.210000,0.372816,0.172401,0.040563,0.299025,0.173774,0.029439,0.375925,0.248903,0.043987,0.302081,0.253367,0.031110
22,0.220000,0.372793,0.172339,0.040551,0.299018,0.173784,0.029451,0.375905,0.248881,0.043972,0.302069,0.253337,0.031099
23,0.230000,0.372790,0.172351,0.040562,0.299019,0.173777,0.029440,0.375921,0.248900,0.043986,0.302078,0.253359,0.031108
24,0.240000,0.372775,0.172344,0.040532,0.299029,0.173800,0.029434,0.375914,0.248905,0.043982,0.302077,0.253353,0.031103
25,0.250000,0.372787,0.172362,0.040541,0.299026,0.173810,0.029438,0.375908,0.248902,0.043964,0.302076,0.253336,0.031092
26,0.260000,0.372778,0.172341,0.040554,0.299025,0.173773,0.029440,0.375905,0.248910,0.043985,0.302081,0.253356,0.031107
27,0.270000,0.372789,0.172324,0.040561,0.299025,0.173765,0.029440,0.375912,0.248909,0.043982,0.302083,0.253347,0.031108
28,0.280000,0.372794,0.172331,0.040540,0.299015,0.173781,0.029442,0.375905,0.248899,0.043973,0.302087,0.253338,0.031097
29,0.290000,0.372779,0.172314,0.040542,0.299026,0.173778,0.029443,0.375900,0.248893,0.043978,0.302086,0.253348,0.031102
30,0.300000,0.372779,0.172317,0.040530,0.299029,0.173772,0.029438,0.375905,0.248898,0.043976,0.302092,0.253345,0.031117
31,0.310000,0.372798,0.172349,0.040542,0.299027,0.173790,0.029436,0.375911,0.248904,0.043966,0.302151,0.252970,0.030734
32,0.320000,0.372797,0.172354,0.040541,0.299018,0.173773,0.029433,0.375911,0.248887,0.043967,0.302083,0.253347,0.031101
33,0.330000,0.372793,0.172324,0.040550,0.299023,0.173773,0.029436,0.375906,0.248894,0.043977,0.302072,0.253326,0.031101
34,0.340000,0.372800,0.172340,0.040561,0.299023,0.173790,0.029443,0.375911,0.248904,0.043984,0.302078,0.253341,0.031112
35,0.350000,0.372785,0.172338,0.040524,0.299028,0.173796,0.029426,0.375909,0.248899,0.043967,0.302082,0.253345,0.031113
36,0.360000,0.372791,0.172351,0.040549,0.299025,0.173765,0.029441,0.375907,0.248904,0.043984,0.302093,0.253374,0.031115
37,0.370000,0.372794,0.172337,0.040549,0.299045,0.173771,0.029451,0.375913,0.248915,0.043983,0.302089,0.253383,0.031116
38,0.380000,0.372799,0.172330,0.040544,0.299025,0.173825,0.029443,0.375925,0.248926,0.043973,0.302081,0.253351,0.031102
