Format Version,1.23,Take Name,Sujith_cart_002_linear_movement,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-13 04.30.34.576 PM,Total Frames in Take,5507,Total Exported Frames,5507,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,wheeled_cart:center,wheeled_cart:center,wheeled_cart:center,wheeled_cart:org,wheeled_cart:org,wheeled_cart:org,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:z_vec,wheeled_cart:z_vec,wheeled_cart:z_vec
,ID,"5EFBC8A2EB0811ECBCE17DD2D9C84CB3","5EFBC8A2EB0811ECBCE17DD2D9C84CB3","5EFBC8A2EB0811ECBCE17DD2D9C84CB3","65615183EB0811ECBCE17DD2D9C84CB3","65615183EB0811ECBCE17DD2D9C84CB3","65615183EB0811ECBCE17DD2D9C84CB3","5EFBC8A6EB0811ECBCE17DD2D9C84CB3","5EFBC8A6EB0811ECBCE17DD2D9C84CB3","5EFBC8A6EB0811ECBCE17DD2D9C84CB3","5EFBC8A4EB0811ECBCE17DD2D9C84CB3","5EFBC8A4EB0811ECBCE17DD2D9C84CB3","5EFBC8A4EB0811ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.307990,0.068932,-0.126843,0.268385,0.067659,-0.193072,0.347874,0.067159,-0.190511,0.263224,0.069538,-0.065448
1,0.010000,0.307990,0.068941,-0.126841,0.268408,0.067657,-0.193079,0.347875,0.067167,-0.190513,0.263232,0.069542,-0.065445
2,0.020000,0.307989,0.068950,-0.126838,0.268431,0.067655,-0.193087,0.347875,0.067175,-0.190515,0.263241,0.069547,-0.065441
3,0.030000,0.307991,0.068947,-0.126837,0.268422,0.067654,-0.193085,0.347877,0.067177,-0.190515,0.263241,0.069549,-0.065446
4,0.040000,0.307994,0.068935,-0.126838,0.268388,0.067655,-0.193075,0.347881,0.067176,-0.190513,0.263235,0.069548,-0.065458
5,0.050000,0.308062,0.069198,-0.126881,0.268414,0.067656,-0.193096,0.347876,0.067156,-0.190523,0.263234,0.069548,-0.065450
6,0.060000,0.308063,0.069183,-0.126887,0.268392,0.067648,-0.193083,0.347868,0.067161,-0.190518,0.263233,0.069555,-0.065454
7,0.070000,0.308062,0.069197,-0.126889,0.268387,0.067639,-0.193080,0.347880,0.067169,-0.190508,0.263236,0.069542,-0.065456
8,0.080000,0.307992,0.068934,-0.126845,0.268388,0.067644,-0.193091,0.347877,0.067157,-0.190511,0.263224,0.069531,-0.065458
9,0.090000,0.307990,0.068953,-0.126842,0.268390,0.067650,-0.193084,0.347875,0.067155,-0.190515,0.263234,0.069540,-0.065455
10,0.100000,0.307993,0.068943,-0.126848,0.268389,0.067657,-0.193079,0.347878,0.067168,-0.190513,0.263239,0.069531,-0.065457
11,0.110000,0.307997,0.068938,-0.126840,0.268394,0.067651,-0.193074,0.347879,0.067171,-0.190512,0.263234,0.069555,-0.065447
12,0.120000,0.308076,0.069209,-0.126879,0.268399,0.067649,-0.193074,0.347876,0.067181,-0.190515,0.263237,0.069544,-0.065447
13,0.130000,0.308073,0.069191,-0.126881,0.268387,0.067632,-0.193075,0.347871,0.067164,-0.190517,0.263248,0.069511,-0.065462
14,0.140000,0.308068,0.069213,-0.126871,0.268417,0.067636,-0.193086,0.347871,0.067167,-0.190514,0.263241,0.069543,-0.065443
15,0.150000,0.307997,0.068936,-0.126835,0.268384,0.067618,-0.193087,0.347885,0.067172,-0.190512,0.263238,0.069538,-0.065446
16,0.160000,0.307991,0.068931,-0.126848,0.268418,0.067668,-0.193081,0.347876,0.067160,-0.190513,0.263244,0.069540,-0.065463
17,0.170000,0.308059,0.069210,-0.126893,0.268389,0.067646,-0.193088,0.347879,0.067164,-0.190516,0.263235,0.069539,-0.065452
18,0.180000,0.308069,0.069195,-0.126888,0.268387,0.067646,-0.193066,0.347871,0.067162,-0.190516,0.263241,0.069535,-0.065449
19,0.190000,0.308059,0.069196,-0.126884,0.268418,0.067644,-0.193102,0.347873,0.067167,-0.190513,0.263233,0.069551,-0.065458
20,0.200000,0.307994,0.068935,-0.126843,0.268393,0.067656,-0.193084,0.347874,0.067149,-0.190510,0.263237,0.069539,-0.065453
21,0.210000,0.307990,0.068932,-0.126836,0.268387,0.067645,-0.193076,0.347866,0.067154,-0.190513,0.263229,0.069552,-0.065455
22,0.220000,0.308066,0.069193,-0.126884,0.268384,0.067644,-0.193076,0.347872,0.067155,-0.190514,0.263245,0.069537,-0.065455
23,0.230000,0.308066,0.069200,-0.126886,0.268387,0.067640,-0.193078,0.347870,0.067172,-0.190506,0.263236,0.069545,-0.065453
24,0.240000,0.307988,0.068942,-0.126836,0.268382,0.067641,-0.193073,0.347879,0.067150,-0.190521,0.263236,0.069589,-0.065431
25,0.250000,0.308060,0.069195,-0.126882,0.268389,0.067630,-0.193071,0.347872,0.067166,-0.190512,0.263236,0.069540,-0.065449
26,0.260000,0.307991,0.068921,-0.126836,0.268393,0.067639,-0.193078,0.347876,0.067171,-0.190510,0.263236,0.069543,-0.065453
27,0.270000,0.307988,0.068938,-0.126839,0.268417,0.067635,-0.193091,0.347872,0.067158,-0.190510,0.263229,0.069530,-0.065450
28,0.280000,0.307990,0.068932,-0.126845,0.268386,0.067625,-0.193076,0.347875,0.067149,-0.190509,0.263236,0.069517,-0.065449
29,0.290000,0.307988,0.068932,-0.126839,0.268385,0.067653,-0.193074,0.347877,0.067160,-0.190516,0.263233,0.069533,-0.065451
30,0.300000,0.307988,0.068928,-0.126837,0.268411,0.067635,-0.193093,0.347872,0.067161,-0.190511,0.263240,0.069534,-0.065445
31,0.310000,0.307995,0.068933,-0.126835,0.268407,0.067625,-0.193098,0.347866,0.067151,-0.190518,0.263228,0.069533,-0.065447
32,0.320000,0.307990,0.068949,-0.126843,0.268413,0.067638,-0.193092,0.347867,0.067156,-0.190512,0.263242,0.069533,-0.065472
