Format Version,1.23,Take Name,Sujith_cart_002_linear_movement_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-14 10.27.14.404 AM,Total Frames in Take,5909,Total Exported Frames,5909,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,wheeled_cart:center,wheeled_cart:center,wheeled_cart:center,wheeled_cart:org,wheeled_cart:org,wheeled_cart:org,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:z_vec,wheeled_cart:z_vec,wheeled_cart:z_vec
,ID,"ACDA10ECEB9E11ECBCE17DD2D9C84CB3","ACDA10ECEB9E11ECBCE17DD2D9C84CB3","ACDA10ECEB9E11ECBCE17DD2D9C84CB3","B30E3364EB9E11ECBCE17DD2D9C84CB3","B30E3364EB9E11ECBCE17DD2D9C84CB3","B30E3364EB9E11ECBCE17DD2D9C84CB3","B30E3362EB9E11ECBCE17DD2D9C84CB3","B30E3362EB9E11ECBCE17DD2D9C84CB3","B30E3362EB9E11ECBCE17DD2D9C84CB3","B30E3360EB9E11ECBCE17DD2D9C84CB3","B30E3360EB9E11ECBCE17DD2D9C84CB3","B30E3360EB9E11ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),center_x,center_y,center_z,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0,0.000000,0.325139,0.070421,-0.087848,0.365631,0.067919,-0.151115,0.286039,0.067780,-0.154517,0.362609,0.072229,-0.024120
1,0.010000,0.325127,0.070456,-0.087856,0.365641,0.067918,-0.151114,0.286054,0.067791,-0.154501,0.362617,0.072230,-0.024128
2,0.020000,0.325115,0.070492,-0.087865,0.365651,0.067916,-0.151113,0.286070,0.067803,-0.154486,0.362625,0.072230,-0.024137
3,0.030000,0.325103,0.070527,-0.087873,0.365660,0.067915,-0.151111,0.286085,0.067815,-0.154470,0.362633,0.072231,-0.024146
4,0.040000,0.325090,0.070562,-0.087881,0.365670,0.067913,-0.151110,0.286100,0.067826,-0.154455,0.362641,0.072231,-0.024154
5,0.050000,0.325096,0.070556,-0.087878,0.365670,0.067897,-0.151112,0.286103,0.067820,-0.154456,0.362637,0.072221,-0.024151
