Format Version,1.23,Take Name,cart_linear_sideways,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-15 12.13.29.772 PM,Total Frames in Take,3776,Total Exported Frames,3776,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:center,mecanum:center,mecanum:center,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"A505A605EC7611ECBCE17DD2D9C84CB3","A505A605EC7611ECBCE17DD2D9C84CB3","A505A605EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.376711,0.061965,0.048003,0.336798,0.061981,-0.017959,0.416365,0.060203,-0.015434,0.334189,0.063507,0.109515
1,0.010000,0.376718,0.061963,0.048005,0.336790,0.061988,-0.017958,0.416369,0.060193,-0.015421,0.334194,0.063522,0.109507
2,0.020000,0.376716,0.061963,0.048015,0.336800,0.062010,-0.017967,0.416390,0.060189,-0.015428,0.334197,0.063521,0.109513
3,0.030000,0.376717,0.061982,0.048010,0.336802,0.061984,-0.017958,0.416364,0.060215,-0.015432,0.334195,0.063524,0.109503
4,0.040000,0.376725,0.061983,0.048010,0.336806,0.062019,-0.017969,0.416386,0.060197,-0.015427,0.334199,0.063509,0.109510
5,0.050000,0.376720,0.061982,0.048010,0.336793,0.062006,-0.017952,0.416379,0.060199,-0.015428,0.334199,0.063523,0.109508
6,0.060000,0.376718,0.061983,0.048005,0.336800,0.062021,-0.017965,0.416384,0.060180,-0.015428,0.334202,0.063527,0.109509
7,0.070000,0.376723,0.061977,0.048000,0.336800,0.061997,-0.017961,0.416378,0.060191,-0.015430,0.334200,0.063516,0.109508
8,0.080000,0.376717,0.061970,0.048004,0.336794,0.062002,-0.017954,0.416376,0.060209,-0.015439,0.334193,0.063529,0.109507
9,0.090000,0.376716,0.061966,0.048007,0.336799,0.062003,-0.017972,0.416375,0.060201,-0.015446,0.334197,0.063511,0.109515
10,0.100000,0.376716,0.061963,0.048008,0.336799,0.062013,-0.017965,0.416379,0.060193,-0.015427,0.334195,0.063513,0.109505
11,0.110000,0.376713,0.061955,0.048006,0.336790,0.061987,-0.017961,0.416376,0.060183,-0.015446,0.334189,0.063512,0.109512
12,0.120000,0.376720,0.061970,0.048008,0.336795,0.061979,-0.017953,0.416380,0.060189,-0.015428,0.334189,0.063516,0.109506
13,0.130000,0.376714,0.061974,0.048003,0.336795,0.061971,-0.017963,0.416369,0.060193,-0.015426,0.334202,0.063518,0.109505
14,0.140000,0.376721,0.061978,0.048007,0.336802,0.062008,-0.017965,0.416372,0.060200,-0.015446,0.334200,0.063517,0.109501
15,0.150000,0.376721,0.061960,0.047999,0.336799,0.062019,-0.017964,0.416371,0.060208,-0.015447,0.334204,0.063518,0.109511
16,0.160000,0.376722,0.061942,0.047981,0.336808,0.061962,-0.017980,0.416391,0.060194,-0.015427,0.334207,0.063518,0.109512
17,0.170000,0.376716,0.061987,0.048011,0.336813,0.062004,-0.017983,0.416374,0.060207,-0.015449,0.334205,0.063527,0.109519
