Format Version,1.23,Take Name,cart_random,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-15 05.41.53.371 PM,Total Frames in Take,6319,Total Exported Frames,6319,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.372066,0.062682,-0.089318,0.412840,0.061187,-0.088165,0.368545,0.062648,-0.025666
1,0.010000,0.372051,0.062662,-0.089333,0.412849,0.061191,-0.088166,0.368510,0.062674,-0.025655
2,0.020000,0.372070,0.062637,-0.089315,0.412834,0.061140,-0.088163,0.368532,0.062695,-0.025672
3,0.030000,0.372069,0.062652,-0.089324,0.412833,0.061156,-0.088165,0.368524,0.062681,-0.025673
4,0.040000,0.372066,0.062658,-0.089321,0.412827,0.061154,-0.088159,0.368526,0.062646,-0.025689
5,0.050000,0.372065,0.062669,-0.089323,0.412841,0.061181,-0.088159,0.368538,0.062669,-0.025667
6,0.060000,0.372068,0.062671,-0.089315,0.412842,0.061170,-0.088163,0.368514,0.062728,-0.025640
7,0.070000,0.372064,0.062689,-0.089307,0.412852,0.061180,-0.088150,0.368558,0.062701,-0.025652
8,0.080000,0.372071,0.062695,-0.089317,0.412835,0.061175,-0.088157,0.368531,0.062789,-0.025623
9,0.090000,0.372064,0.062660,-0.089319,0.412838,0.061159,-0.088163,0.368542,0.062683,-0.025663
10,0.100000,0.372074,0.062649,-0.089314,0.412829,0.061151,-0.088164,0.368543,0.062669,-0.025660
11,0.110000,0.372063,0.062658,-0.089328,0.412811,0.061156,-0.088158,0.368527,0.062678,-0.025665
12,0.120000,0.372057,0.062652,-0.089317,0.412847,0.061155,-0.088161,0.368525,0.062670,-0.025663
13,0.130000,0.372063,0.062661,-0.089326,0.412837,0.061160,-0.088168,0.368538,0.062694,-0.025669
14,0.140000,0.372067,0.062658,-0.089319,0.412829,0.061152,-0.088172,0.368532,0.062684,-0.025680
15,0.150000,0.372066,0.062668,-0.089315,0.412840,0.061182,-0.088152,0.368561,0.062711,-0.025664
16,0.160000,0.372065,0.062684,-0.089311,0.412851,0.061179,-0.088160,0.368526,0.062671,-0.025656
17,0.170000,0.372065,0.062668,-0.089319,0.412846,0.061178,-0.088164,0.368533,0.062661,-0.025655
18,0.180000,0.372067,0.062676,-0.089332,0.412821,0.061178,-0.088154,0.368526,0.062682,-0.025666
19,0.190000,0.372069,0.062652,-0.089321,0.412837,0.061159,-0.088163,0.368540,0.062650,-0.025675
20,0.200000,0.372059,0.062663,-0.089312,0.412843,0.061161,-0.088155,0.368548,0.062647,-0.025661
21,0.210000,0.372075,0.062669,-0.089307,0.412851,0.061165,-0.088153,0.368559,0.062676,-0.025677
22,0.220000,0.372069,0.062665,-0.089305,0.412845,0.061148,-0.088160,0.368558,0.062673,-0.025673
23,0.230000,0.372069,0.062671,-0.089314,0.412850,0.061161,-0.088156,0.368554,0.062697,-0.025658
