Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.186409,0.066477,0.243783,0.227569,0.065008,0.251833,0.169555,0.066373,0.345257
1,0.010000,0.186456,0.066552,0.243839,0.227555,0.065018,0.251839,0.169555,0.066388,0.345246
2,0.020000,0.186459,0.066578,0.243845,0.227562,0.065023,0.251848,0.169556,0.066387,0.345249
3,0.030000,0.186411,0.066453,0.243761,0.227565,0.065003,0.251846,0.169567,0.066400,0.345258
4,0.040000,0.186466,0.066558,0.243862,0.227568,0.065005,0.251848,0.169557,0.066386,0.345249
5,0.050000,0.186408,0.066465,0.243752,0.227571,0.065012,0.251840,0.169571,0.066372,0.345253
6,0.060000,0.186391,0.066451,0.243768,0.227560,0.065028,0.251841,0.169573,0.066394,0.345262
7,0.070000,0.186387,0.066466,0.243774,0.227561,0.064995,0.251839,0.169542,0.066382,0.345265
8,0.080000,0.186453,0.066557,0.243850,0.227555,0.065031,0.251823,0.169543,0.066391,0.345251
9,0.090000,0.186409,0.066447,0.243760,0.227558,0.065010,0.251847,0.169552,0.066386,0.345252
10,0.100000,0.186458,0.066568,0.243854,0.227559,0.065016,0.251851,0.169563,0.066381,0.345254
