Format Version,1.23,Take Name,linear_forward,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-14 03.03.52.098 PM,Total Frames in Take,2575,Total Exported Frames,2575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:center,mecanum:center,mecanum:center,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.045857,0.068821,-0.081540,0.003887,0.069184,-0.146124,0.083270,0.066830,-0.146643,0.005686,0.069255,-0.018596
1,0.010000,0.045868,0.068813,-0.081547,0.003862,0.069154,-0.146151,0.083285,0.066831,-0.146648,0.005683,0.069261,-0.018592
2,0.020000,0.045856,0.068817,-0.081544,0.003880,0.069194,-0.146121,0.083275,0.066833,-0.146650,0.005672,0.069261,-0.018588
3,0.030000,0.045849,0.068824,-0.081547,0.003879,0.069186,-0.146123,0.083275,0.066815,-0.146652,0.005674,0.069258,-0.018586
4,0.040000,0.045851,0.068822,-0.081540,0.003875,0.069197,-0.146128,0.083278,0.066837,-0.146640,0.005688,0.069259,-0.018586
5,0.050000,0.045852,0.068817,-0.081544,0.003885,0.069162,-0.146131,0.083264,0.066825,-0.146648,0.005680,0.069260,-0.018586
6,0.060000,0.045852,0.068814,-0.081541,0.003882,0.069178,-0.146119,0.083283,0.066839,-0.146647,0.005670,0.069246,-0.018597
7,0.070000,0.045857,0.068832,-0.081542,0.003878,0.069177,-0.146122,0.083278,0.066838,-0.146639,0.005677,0.069265,-0.018585
8,0.080000,0.045849,0.068824,-0.081541,0.003893,0.069181,-0.146123,0.083273,0.066839,-0.146651,0.005671,0.069240,-0.018588
9,0.090000,0.045861,0.068813,-0.081547,0.003882,0.069173,-0.146119,0.083279,0.066832,-0.146647,0.005671,0.069244,-0.018596
10,0.100000,0.045850,0.068810,-0.081541,0.003880,0.069177,-0.146120,0.083276,0.066828,-0.146652,0.005681,0.069254,-0.018600
11,0.110000,0.045847,0.068823,-0.081550,0.003882,0.069173,-0.146118,0.083280,0.066836,-0.146646,0.005666,0.069238,-0.018594
12,0.120000,0.045851,0.068810,-0.081546,0.003881,0.069173,-0.146122,0.083276,0.066832,-0.146646,0.005700,0.069286,-0.018597
13,0.130000,0.045857,0.068825,-0.081540,0.003878,0.069197,-0.146117,0.083281,0.066816,-0.146660,0.005679,0.069256,-0.018588
14,0.140000,0.045853,0.068817,-0.081543,0.003868,0.069170,-0.146118,0.083278,0.066831,-0.146653,0.005670,0.069252,-0.018595
15,0.150000,0.045861,0.068808,-0.081554,0.003869,0.069181,-0.146133,0.083277,0.066822,-0.146657,0.005681,0.069271,-0.018598
16,0.160000,0.045864,0.068803,-0.081546,0.003879,0.069186,-0.146123,0.083277,0.066830,-0.146648,0.005677,0.069257,-0.018585
17,0.170000,0.045855,0.068818,-0.081542,0.003873,0.069171,-0.146130,0.083265,0.066838,-0.146644,0.005672,0.069257,-0.018578
18,0.180000,0.045854,0.068820,-0.081547,0.003876,0.069166,-0.146122,0.083275,0.066822,-0.146650,0.005676,0.069255,-0.018593
19,0.190000,0.045853,0.068814,-0.081549,0.003886,0.069190,-0.146115,0.083277,0.066835,-0.146645,0.005673,0.069247,-0.018590
20,0.200000,0.045849,0.068804,-0.081546,0.003880,0.069169,-0.146122,0.083277,0.066822,-0.146649,0.005678,0.069277,-0.018588
21,0.210000,0.045845,0.068798,-0.081548,0.003857,0.069166,-0.146154,0.083272,0.066818,-0.146654,0.005674,0.069247,-0.018600
22,0.220000,0.045863,0.068803,-0.081557,0.003878,0.069182,-0.146118,0.083271,0.066834,-0.146647,0.005680,0.069253,-0.018588
23,0.230000,0.045856,0.068816,-0.081545,0.003883,0.069186,-0.146118,0.083255,0.066819,-0.146641,0.005710,0.069302,-0.018551
24,0.240000,0.045851,0.068819,-0.081542,0.003898,0.069184,-0.146108,0.083277,0.066827,-0.146654,0.005679,0.069250,-0.018582
25,0.250000,0.045848,0.068811,-0.081543,0.003875,0.069203,-0.146112,0.083273,0.066830,-0.146643,0.005668,0.069252,-0.018583
26,0.260000,0.045848,0.068813,-0.081545,0.003879,0.069183,-0.146112,0.083253,0.066827,-0.146635,0.005669,0.069252,-0.018587
27,0.270000,0.045852,0.068813,-0.081545,0.003888,0.069185,-0.146104,0.083278,0.066831,-0.146642,0.005685,0.069264,-0.018589
28,0.280000,0.045849,0.068805,-0.081546,0.003879,0.069182,-0.146131,0.083273,0.066836,-0.146639,0.005679,0.069267,-0.018594
29,0.290000,0.045859,0.068812,-0.081546,0.003896,0.069190,-0.146106,0.083261,0.066833,-0.146633,0.005680,0.069264,-0.018596
30,0.300000,0.045857,0.068829,-0.081547,0.003892,0.069204,-0.146108,0.083282,0.066824,-0.146646,0.005685,0.069263,-0.018593
31,0.310000,0.045884,0.068853,-0.081545,0.003881,0.069194,-0.146113,0.083279,0.066828,-0.146641,0.005669,0.069257,-0.018589
32,0.320000,0.045853,0.068810,-0.081547,0.003893,0.069199,-0.146117,0.083290,0.066840,-0.146641,0.005675,0.069255,-0.018600
33,0.330000,0.045851,0.068813,-0.081538,0.003874,0.069185,-0.146117,0.083274,0.066831,-0.146643,0.005678,0.069257,-0.018586
34,0.340000,0.045849,0.068818,-0.081547,0.003898,0.069200,-0.146107,0.083267,0.066841,-0.146639,0.005672,0.069251,-0.018592
35,0.350000,0.045853,0.068822,-0.081544,0.003875,0.069187,-0.146121,0.083279,0.066845,-0.146652,0.005678,0.069252,-0.018591
36,0.360000,0.045846,0.068810,-0.081543,0.003882,0.069191,-0.146113,0.083278,0.066829,-0.146652,0.005676,0.069250,-0.018591
37,0.370000,0.045852,0.068830,-0.081541,0.003882,0.069196,-0.146128,0.083277,0.066817,-0.146654,0.005675,0.069248,-0.018590
38,0.380000,0.045847,0.068813,-0.081545,0.003898,0.069189,-0.146103,0.083271,0.066827,-0.146643,0.005683,0.069264,-0.018596
39,0.390000,0.045849,0.068811,-0.081547,0.003877,0.069176,-0.146116,0.083278,0.066852,-0.146644,0.005680,0.069255,-0.018590
40,0.400000,0.045849,0.068812,-0.081545,0.003855,0.069130,-0.146150,0.083270,0.066825,-0.146641,0.005679,0.069252,-0.018590
41,0.410000,0.045853,0.068816,-0.081541,0.003896,0.069203,-0.146106,0.083284,0.066832,-0.146654,0.005661,0.069250,-0.018587
42,0.420000,0.045852,0.068810,-0.081550,0.003873,0.069165,-0.146116,0.083280,0.066835,-0.146647,0.005670,0.069237,-0.018597
43,0.430000,0.045851,0.068819,-0.081544,0.003863,0.069154,-0.146145,0.083263,0.066824,-0.146641,0.005682,0.069242,-0.018587
44,0.440000,0.045847,0.068811,-0.081546,0.003874,0.069164,-0.146116,0.083281,0.066830,-0.146639,0.005682,0.069266,-0.018586
45,0.450000,0.045846,0.068816,-0.081547,0.003877,0.069190,-0.146119,0.083281,0.066841,-0.146649,0.005673,0.069250,-0.018596
46,0.460000,0.045848,0.068824,-0.081543,0.003876,0.069181,-0.146116,0.083272,0.066826,-0.146651,0.005679,0.069268,-0.018592
47,0.470000,0.045855,0.068825,-0.081544,0.003875,0.069192,-0.146113,0.083265,0.066820,-0.146645,0.005675,0.069260,-0.018589
48,0.480000,0.045850,0.068806,-0.081554,0.003882,0.069175,-0.146126,0.083277,0.066830,-0.146650,0.005679,0.069250,-0.018587
49,0.490000,0.045855,0.068838,-0.081545,0.003879,0.069180,-0.146110,0.083269,0.066820,-0.146646,0.005679,0.069251,-0.018586
50,0.500000,0.045859,0.068827,-0.081549,0.003881,0.069181,-0.146124,0.083252,0.066836,-0.146635,0.005680,0.069251,-0.018588
51,0.510000,0.045851,0.068816,-0.081545,0.003880,0.069191,-0.146119,0.083263,0.066827,-0.146639,0.005706,0.069282,-0.018554
52,0.520000,0.045858,0.068826,-0.081538,0.003871,0.069168,-0.146117,0.083272,0.066821,-0.146645,0.005685,0.069255,-0.018587
53,0.530000,0.045851,0.068818,-0.081550,0.003881,0.069188,-0.146119,0.083276,0.066851,-0.146641,0.005674,0.069252,-0.018592
54,0.540000,0.045855,0.068820,-0.081540,0.003868,0.069186,-0.146118,0.083272,0.066828,-0.146643,0.005682,0.069243,-0.018586
55,0.550000,0.045854,0.068812,-0.081549,0.003899,0.069196,-0.146102,0.083278,0.066826,-0.146644,0.005675,0.069249,-0.018592
56,0.560000,0.045854,0.068826,-0.081545,0.003896,0.069204,-0.146117,0.083266,0.066829,-0.146639,0.005684,0.069250,-0.018590
57,0.570000,0.045853,0.068827,-0.081534,0.003884,0.069195,-0.146109,0.083280,0.066836,-0.146644,0.005682,0.069265,-0.018587
58,0.580000,0.045852,0.068822,-0.081541,0.003874,0.069166,-0.146114,0.083274,0.066827,-0.146647,0.005682,0.069248,-0.018596
59,0.590000,0.045856,0.068825,-0.081535,0.003866,0.069145,-0.146152,0.083279,0.066830,-0.146649,0.005704,0.069287,-0.018546
60,0.600000,0.045854,0.068823,-0.081543,0.003881,0.069186,-0.146111,0.083262,0.066819,-0.146643,0.005677,0.069264,-0.018584
61,0.610000,0.045852,0.068813,-0.081540,0.003877,0.069198,-0.146111,0.083279,0.066824,-0.146638,0.005683,0.069253,-0.018589
62,0.620000,0.045850,0.068811,-0.081545,0.003877,0.069189,-0.146126,0.083270,0.066841,-0.146646,0.005681,0.069250,-0.018591
63,0.630000,0.045849,0.068817,-0.081539,0.003883,0.069191,-0.146121,0.083276,0.066841,-0.146647,0.005673,0.069249,-0.018584
64,0.640000,0.045851,0.068812,-0.081548,0.003880,0.069188,-0.146119,0.083283,0.066832,-0.146643,0.005672,0.069256,-0.018579
65,0.650000,0.045844,0.068817,-0.081548,0.003880,0.069176,-0.146117,0.083277,0.066839,-0.146641,0.005678,0.069250,-0.018585
66,0.660000,0.045847,0.068819,-0.081543,0.003874,0.069177,-0.146118,0.083277,0.066832,-0.146653,0.005675,0.069248,-0.018583
67,0.670000,0.045850,0.068820,-0.081540,0.003885,0.069189,-0.146119,0.083275,0.066833,-0.146636,0.005679,0.069255,-0.018585
68,0.680000,0.045851,0.068817,-0.081542,0.003872,0.069185,-0.146122,0.083262,0.066821,-0.146642,0.005675,0.069249,-0.018583
69,0.690000,0.045854,0.068825,-0.081537,0.003876,0.069189,-0.146121,0.083279,0.066833,-0.146649,0.005684,0.069260,-0.018585
70,0.700000,0.045853,0.068819,-0.081548,0.003878,0.069192,-0.146124,0.083282,0.066844,-0.146643,0.005679,0.069251,-0.018588
71,0.710000,0.045861,0.068814,-0.081541,0.003890,0.069189,-0.146119,0.083264,0.066822,-0.146640,0.005688,0.069254,-0.018585
72,0.720000,0.045858,0.068834,-0.081546,0.003868,0.069178,-0.146119,0.083275,0.066833,-0.146649,0.005679,0.069260,-0.018579
73,0.730000,0.045854,0.068830,-0.081541,0.003851,0.069141,-0.146160,0.083277,0.066846,-0.146638,0.005679,0.069253,-0.018591
74,0.740000,0.045861,0.068810,-0.081551,0.003875,0.069171,-0.146122,0.083278,0.066844,-0.146644,0.005676,0.069262,-0.018585
75,0.750000,0.045851,0.068827,-0.081546,0.003864,0.069158,-0.146156,0.083276,0.066830,-0.146652,0.005710,0.069294,-0.018552
76,0.760000,0.045850,0.068827,-0.081545,0.003881,0.069170,-0.146117,0.083265,0.066835,-0.146643,0.005679,0.069256,-0.018591
77,0.770000,0.045857,0.068824,-0.081546,0.003890,0.069188,-0.146107,0.083280,0.066824,-0.146650,0.005684,0.069259,-0.018593
