Format Version,1.23,Take Name,sujith_cart_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-09 06.15.20.583 PM,Total Frames in Take,9259,Total Exported Frames,9259,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,wheeled_cart:center,wheeled_cart:center,wheeled_cart:center,wheeled_cart:org,wheeled_cart:org,wheeled_cart:org,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:x_vec,wheeled_cart:z_vec,wheeled_cart:z_vec,wheeled_cart:z_vec
,ID,"9F6C98DEE7F211ECBCE17DD2D9C84CB3","9F6C98DEE7F211ECBCE17DD2D9C84CB3","9F6C98DEE7F211ECBCE17DD2D9C84CB3","9F6C98E4E7F211ECBCE17DD2D9C84CB3","9F6C98E4E7F211ECBCE17DD2D9C84CB3","9F6C98E4E7F211ECBCE17DD2D9C84CB3","9F6C98E2E7F211ECBCE17DD2D9C84CB3","9F6C98E2E7F211ECBCE17DD2D9C84CB3","9F6C98E2E7F211ECBCE17DD2D9C84CB3","9F6C98E0E7F211ECBCE17DD2D9C84CB3","9F6C98E0E7F211ECBCE17DD2D9C84CB3","9F6C98E0E7F211ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),center_x,center_y,center_z,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0,0.000000,0.003236,0.067702,-0.139123,-0.037691,0.065555,-0.203663,0.040555,0.064554,-0.203653,-0.039944,0.067606,-0.075845
1,0.010000,0.003246,0.067713,-0.139121,-0.037848,0.065173,-0.203597,0.040547,0.064546,-0.203648,-0.039949,0.067603,-0.075850
2,0.020000,0.003251,0.067696,-0.139129,-0.037697,0.065541,-0.203672,0.040666,0.064750,-0.203737,-0.039946,0.067590,-0.075851
3,0.030000,0.003240,0.067709,-0.139121,-0.037702,0.065550,-0.203678,0.040547,0.064553,-0.203648,-0.039948,0.067594,-0.075842
4,0.040000,0.003244,0.067717,-0.139121,-0.037855,0.065084,-0.203598,0.040558,0.064545,-0.203640,-0.039948,0.067595,-0.075849
5,0.050000,0.003241,0.067702,-0.139124,-0.037707,0.065522,-0.203689,0.040671,0.064737,-0.203743,-0.039946,0.067606,-0.075848
6,0.060000,0.003232,0.067709,-0.139117,-0.037702,0.065522,-0.203701,0.040549,0.064556,-0.203650,-0.039950,0.067588,-0.075854
7,0.070000,0.003233,0.067717,-0.139113,-0.037695,0.065517,-0.203712,0.040674,0.064733,-0.203756,-0.039944,0.067600,-0.075845
8,0.080000,0.003235,0.067702,-0.139123,-0.037867,0.065126,-0.203648,0.040550,0.064541,-0.203649,-0.039946,0.067604,-0.075857
9,0.090000,0.003237,0.067696,-0.139125,-0.037864,0.065131,-0.203649,0.040551,0.064549,-0.203646,-0.039943,0.067590,-0.075860
10,0.100000,0.003242,0.067703,-0.139130,-0.037859,0.065135,-0.203660,0.040665,0.064759,-0.203742,-0.039942,0.067607,-0.075856
11,0.110000,0.003243,0.067715,-0.139124,-0.037856,0.065040,-0.203636,0.040665,0.064757,-0.203736,-0.039944,0.067598,-0.075852
12,0.120000,0.003240,0.067727,-0.139117,-0.037714,0.065472,-0.203734,0.040681,0.064757,-0.203748,-0.039937,0.067616,-0.075854
13,0.130000,0.003041,0.067325,-0.139111,-0.037860,0.065036,-0.203650,0.040551,0.064554,-0.203652,-0.039951,0.067595,-0.075848
14,0.140000,0.003233,0.067701,-0.139115,-0.037863,0.065037,-0.203652,0.040553,0.064552,-0.203650,-0.039940,0.067617,-0.075861
15,0.150000,0.003239,0.067704,-0.139119,-0.037866,0.065104,-0.203684,0.040555,0.064555,-0.203663,-0.039952,0.067610,-0.075854
16,0.160000,0.003242,0.067707,-0.139125,-0.037867,0.065100,-0.203674,0.040551,0.064556,-0.203649,-0.039937,0.067614,-0.075855
