sys_time,e_fr,e_fl,e_rr,e_rl
2022-06-15 12:13:22.489984,13,-5,7,3
2022-06-15 12:13:37.124103,20,1,14,10
2022-06-15 12:13:37.124103,20,1,14,10
2022-06-15 12:13:37.124604,20,1,14,10
2022-06-15 12:13:37.124604,20,1,14,10
2022-06-15 12:13:37.124604,20,1,14,10
2022-06-15 12:13:37.125103,20,1,14,10
2022-06-15 12:13:37.125103,20,1,14,10
2022-06-15 12:13:37.237309,20,1,14,10
2022-06-15 12:13:37.237309,20,1,14,10
2022-06-15 12:13:37.237807,20,1,14,10
2022-06-15 12:13:37.237807,20,1,14,10
2022-06-15 12:13:37.237807,20,1,14,10
2022-06-15 12:13:37.237807,20,1,14,10
2022-06-15 12:13:37.238307,21,1,14,10
2022-06-15 12:13:37.238307,21,1,14,10
2022-06-15 12:13:37.238307,21,2,15,11
2022-06-15 12:13:37.238806,21,2,15,11
2022-06-15 12:13:37.238806,21,2,15,11
2022-06-15 12:13:37.238806,21,2,15,11
2022-06-15 12:13:37.329538,21,2,15,11
2022-06-15 12:13:37.330077,21,2,15,12
2022-06-15 12:13:37.330077,21,2,15,12
2022-06-15 12:13:37.330077,21,2,15,12
2022-06-15 12:13:37.330544,21,2,15,12
2022-06-15 12:13:37.330544,21,2,15,12
2022-06-15 12:13:37.330544,21,2,15,12
2022-06-15 12:13:37.331044,21,2,15,12
2022-06-15 12:13:37.331044,21,2,15,12
2022-06-15 12:13:37.331044,21,2,15,11
2022-06-15 12:13:37.331543,21,2,15,11
2022-06-15 12:13:37.444760,21,2,15,11
2022-06-15 12:13:37.445060,21,1,14,10
2022-06-15 12:13:37.445060,20,1,14,10
2022-06-15 12:13:37.445060,20,1,14,10
2022-06-15 12:13:37.445601,20,0,13,9
2022-06-15 12:13:37.445601,20,0,13,9
2022-06-15 12:13:37.445601,19,-1,12,8
2022-06-15 12:13:37.446101,19,-1,12,8
2022-06-15 12:13:37.446101,18,-2,11,7
2022-06-15 12:13:37.446101,18,-2,11,6
2022-06-15 12:13:37.446101,18,-3,10,6
2022-06-15 12:13:37.446604,18,-4,10,5
2022-06-15 12:13:37.540963,17,-4,10,5
2022-06-15 12:13:37.540963,17,-5,9,4
2022-06-15 12:13:37.541493,17,-5,9,4
2022-06-15 12:13:37.541493,17,-5,9,4
2022-06-15 12:13:37.541964,17,-5,9,4
2022-06-15 12:13:37.541964,17,-5,9,4
2022-06-15 12:13:37.541964,17,-5,9,4
2022-06-15 12:13:37.541964,17,-5,9,4
2022-06-15 12:13:37.542464,17,-5,9,4
2022-06-15 12:13:37.542464,17,-5,9,4
2022-06-15 12:13:37.542464,17,-5,9,4
2022-06-15 12:13:37.648603,17,-5,9,4
2022-06-15 12:13:37.648603,17,-5,9,4
2022-06-15 12:13:37.649104,17,-5,9,4
2022-06-15 12:13:37.649104,17,-5,9,4
2022-06-15 12:13:37.649104,17,-5,9,4
